,emb0,emb1,emb2,emb3,emb4,emb5
0,11.919167,1.9888663,11.230028,7.5834045,10.22231,-1.6329093
1,12.043959,3.0788643,12.157161,7.364094,9.437568,-0.5955398
2,11.638928,2.1097474,11.294045,7.318229,10.90626,-1.4209398
3,11.864577,2.4400601,10.964651,7.4930243,11.945585,-1.8721526
4,11.606765,2.4079914,11.184163,6.9452615,9.60545,-1.0668013
5,11.718513,2.792256,11.013715,7.606461,14.967814,-3.096519
6,11.933756,2.6242194,11.4421,7.6589456,12.538906,-2.5082226
7,11.105478,2.8210962,10.585339,8.845004,15.069331,-3.9434283
8,11.967207,2.176836,12.127234,7.558908,10.13843,-1.8076166
9,11.73502,2.8709476,11.822285,6.440029,8.676151,-1.0887983
10,11.668639,2.739145,11.383944,7.686741,12.429453,-2.4997892
11,11.547866,3.3994637,10.971005,7.0006003,11.139053,-1.2062117
12,11.519291,1.513149,11.919482,7.324924,10.624645,-1.7322909
13,12.13154,2.3287556,10.903974,7.6176114,9.892157,-0.31109384
14,11.584965,2.3071878,10.712631,8.079623,12.840666,-2.4868565
15,11.585433,1.7651672,11.168912,8.0351,11.756806,-2.364512
16,11.076321,2.4797308,10.1692295,8.763168,15.216074,-3.6086583
17,11.275456,1.7338661,10.543076,8.686403,14.818675,-3.5577226
18,11.189536,2.3740258,10.82353,7.7227697,15.585099,-3.077302
19,11.061467,1.882791,11.35272,7.784814,13.9597,-2.7892184
20,12.158402,2.1861649,11.3325815,7.903632,11.412497,-2.2133203
21,10.756003,3.0811238,10.564091,8.355479,15.924976,-3.6552289
22,11.2207365,2.9032507,10.724987,7.855919,15.931191,-3.3855815
23,11.957921,2.1700757,11.090882,7.637377,12.940861,-2.4146945
24,11.080405,2.5826378,11.0169,7.581997,14.036124,-2.4901524
25,12.062151,3.202862,10.7447605,7.5018544,10.887656,-1.4529124
26,11.419583,2.9065645,10.76534,8.223265,13.384732,-2.9106274
27,11.794079,2.2225661,10.594249,8.201656,13.128228,-2.7178235
28,11.613072,2.065415,11.32391,7.6678824,12.892555,-2.4672217
29,12.024611,3.7158864,11.269075,6.918453,9.089245,-0.98944664
30,12.031735,2.2726274,11.233652,7.7029924,11.204576,-1.9308896
31,12.131279,3.348525,12.081144,7.1765423,8.983591,-0.51439255
32,11.504706,2.4872856,11.240628,7.3568325,12.98236,-2.1473799
33,10.871511,2.0502598,10.640524,8.971126,16.103144,-4.3179092
34,11.716984,2.92056,11.095161,7.6019325,13.749616,-2.7332048
35,11.930936,2.0470507,10.836125,7.9073496,14.889771,-3.2544303
36,11.414794,1.8396806,11.708089,7.2980013,11.072727,-1.5911704
37,10.630888,2.1119394,10.761712,8.425696,16.06586,-3.7015352
38,11.563138,3.0511625,11.442786,7.878599,14.258579,-3.3435497
