"Código";"Município";"Municipio";"Área_km_";"Densidade_demográfica_2000";"Distância_à_capital_km_";"Esperança_de_vida_ao_nascer_2000";"Mortalidade_até_um_ano_de_idade_2000";"Taxa_de_fecundidade_total_2000";"Percentual_de_pessoas_de_25_anos_ou_mais_analfabetas_2000";"Renda_per_Capita_2000";"Índice_de_Gini_2000";"Intensidade_da_indigência_2000";"Intensidade_da_pobreza_2000";"Índice_de_Desenvolvimento_Humano_Municipal_2000";"Taxa_bruta_de_freqüência_à_escola_2000";"Taxa_de_alfabetização_2000";"Média_de_anos_de_estudo_das_pessoas_de_25_anos_ou_mais_de_idade_2000";"População_de_25_anos_ou_mais_de_idade_1991";"População_de_25_anos_ou_mais_de_idade_2000";"População_de_65_anos_ou_mais_de_idade_1991";"População_de_65_anos_ou_mais_de_idade_2000";"População_total_1991";"População_total_2000";"População_urbana_2000";"População_rural_2000"
"1";520005;"Abadia de Goiás (GO)";"Abadia de Goiás";136.9;36.3;21.414308;67.58;27.7;2.85;15.64;205.27;0.53;36.89;34.4;0.742;80.17;88.03;4.87;1872;2433;121;227;4227;4971;3096;1875
"2";310010;"Abadia dos Dourados (MG)";"Abadia dos Dourados";897.4;7.2;390.876513;72.92;20.51;2.54;14.48;196.36;0.52;51.9;35.22;0.76;74.57;86.58;4.36;3308;3781;354;459;6492;6446;3927;2519
"3";520010;"Abadiânia (GO)";"Abadiânia";1047.7;10.9;78.641435;69.59;22.36;2.77;21.81;168.31;0.56;47.06;40.32;0.723;74.18;82.45;4.24;4241;5918;446;686;9402;11452;7206;4246
"4";150010;"Abaetetuba (PA)";"Abaetetuba";1613.9;73.8;51.184552;70.77;25.61;3.15;24.85;102.14;0.59;44.61;51.04;0.706;81.76;80.74;4.28;33554;44897;3792;4688;99989;119152;70843;48309
"5";310020;"Abaeté (MG)";"Abaeté";1822.4;12.3;172.311549;72.5;21.59;2.41;15.56;253.68;0.58;41.53;31.68;0.778;78.39;87.55;4.78;10163;12406;1084;1595;20689;22360;19022;3338
"6";230010;"Abaiara (CE)";"Abaiara";182.6;45.9;408.503627;67.2;42.98;3.51;47.83;71.76;0.62;59.35;65.18;0.627;87.99;59.97;2.75;3102;3722;526;607;7889;8385;3208;5177
"7";290010;"Abaíra (BA)";"Abaíra";580.6;15.6;342.631865;68.71;30.53;2.18;31.65;102.11;0.55;53.32;50.94;0.681;78.32;76.11;2.89;4236;4879;876;1057;8754;9067;3559;5508
"8";290020;"Abaré (BA)";"Abaré";1700.8;8;476.835839;59.4;64.11;3.07;39.18;79.88;0.56;51.47;56.43;0.595;78.34;66.95;3.06;4177;5615;710;842;11449;13648;5528;8120
"9";410010;"Abatiá (PR)";"Abatiá";247.2;33.3;258.427656;69.62;19.48;2.6;26.43;148.92;0.47;34.05;36.93;0.71;75.63;79.01;3.93;4465;4300;394;577;10238;8259;5356;2903
"10";420005;"Abdon Batista (SC)";"Abdon Batista";198;14;243.619015;74.4;14.87;2.5;10.06;166.91;0.5;34.78;39.67;0.774;83.1;89.15;4.55;1458;1507;131;149;3245;2775;713;2062
